Component,Asp. Rack,Asp. Posi,Dsp. Rack,Dsp. Posi,Volume
C,source,19,Destination_1,B10,7
D,source,20,Destination_1,B10,8
E,source,21,Destination_1,B10,9
F,source,22,Destination_1,B10,10
1-pHTB2,source,3,Destination_1,C10,8
2-pSAC6,source,10,Destination_1,C10,8
3-pRNR1,source,15,Destination_1,C10,8
etc,source,16,Destination_1,C10,9
A,source,17,Destination_1,C10,5
B,source,18,Destination_1,C10,6
C,source,19,Destination_1,C10,7
D,source,20,Destination_1,C10,8
E,source,21,Destination_1,C10,9
F,source,22,Destination_1,C10,10
1-pALD6,source,4,Destination_1,D10,8
2-pPGK1,source,6,Destination_1,D10,8
3-pCCW12,source,11,Destination_1,D10,8
etc,source,16,Destination_1,D10,9
A,source,17,Destination_1,D10,5
B,source,18,Destination_1,D10,6
C,source,19,Destination_1,D10,7
D,source,20,Destination_1,D10,8
E,source,21,Destination_1,D10,9
F,source,22,Destination_1,D10,10
1-pALD6,source,4,Destination_1,E10,8
2-pPGK1,source,6,Destination_1,E10,8
3-pHHF2,source,12,Destination_1,E10,8
etc,source,16,Destination_1,E10,9
A,source,17,Destination_1,E10,5
B,source,18,Destination_1,E10,6
C,source,19,Destination_1,E10,7
D,source,20,Destination_1,E10,8
E,source,21,Destination_1,E10,9
F,source,22,Destination_1,E10,10
1-pALD6,source,4,Destination_1,F10,8
2-pPGK1,source,6,Destination_1,F10,8
3-pRPL18B,source,13,Destination_1,F10,8
etc,source,16,Destination_1,F10,9
A,source,17,Destination_1,F10,5
B,source,18,Destination_1,F10,6
C,source,19,Destination_1,F10,7
D,source,20,Destination_1,F10,8
E,source,21,Destination_1,F10,9
F,source,22,Destination_1,F10,10
1-pALD6,source,4,Destination_1,G10,8
2-pPGK1,source,6,Destination_1,G10,8
3-pRET2,source,14,Destination_1,G10,8
etc,source,16,Destination_1,G10,9
A,source,17,Destination_1,G10,5
B,source,18,Destination_1,G10,6
C,source,19,Destination_1,G10,7
D,source,20,Destination_1,G10,8
E,source,21,Destination_1,G10,9
F,source,22,Destination_1,G10,10
1-pALD6,source,4,Destination_1,H10,8
2-pPGK1,source,6,Destination_1,H10,8
3-pRNR1,source,15,Destination_1,H10,8
etc,source,16,Destination_1,H10,9
A,source,17,Destination_1,H10,5
B,source,18,Destination_1,H10,6
C,source,19,Destination_1,H10,7
D,source,20,Destination_1,H10,8
E,source,21,Destination_1,H10,9
F,source,22,Destination_1,H10,10
1-pALD6,source,4,Destination_1,A11,8
2-pTEF1,source,7,Destination_1,A11,8
3-pCCW12,source,11,Destination_1,A11,8
etc,source,16,Destination_1,A11,9
A,source,17,Destination_1,A11,5
B,source,18,Destination_1,A11,6
C,source,19,Destination_1,A11,7
D,source,20,Destination_1,A11,8
E,source,21,Destination_1,A11,9
F,source,22,Destination_1,A11,10
1-pALD6,source,4,Destination_1,B11,8
2-pTEF1,source,7,Destination_1,B11,8
3-pHHF2,source,12,Destination_1,B11,8
etc,source,16,Destination_1,B11,9
A,source,17,Destination_1,B11,5
B,source,18,Destination_1,B11,6
C,source,19,Destination_1,B11,7
D,source,20,Destination_1,B11,8
E,source,21,Destination_1,B11,9
F,source,22,Destination_1,B11,10
1-pALD6,source,4,Destination_1,C11,8
2-pTEF1,source,7,Destination_1,C11,8
3-pRPL18B,source,13,Destination_1,C11,8
etc,source,16,Destination_1,C11,9
A,source,17,Destination_1,C11,5
B,source,18,Destination_1,C11,6
C,source,19,Destination_1,C11,7
D,source,20,Destination_1,C11,8
E,source,21,Destination_1,C11,9
F,source,22,Destination_1,C11,10
1-pALD6,source,4,Destination_1,D11,8
2-pTEF1,source,7,Destination_1,D11,8
3-pRET2,source,14,Destination_1,D11,8
etc,source,16,Destination_1,D11,9
A,source,17,Destination_1,D11,5
B,source,18,Destination_1,D11,6
C,source,19,Destination_1,D11,7
D,source,20,Destination_1,D11,8
E,source,21,Destination_1,D11,9
F,source,22,Destination_1,D11,10
1-pALD6,source,4,Destination_1,E11,8
2-pTEF1,source,7,Destination_1,E11,8
3-pRNR1,source,15,Destination_1,E11,8
etc,source,16,Destination_1,E11,9
A,source,17,Destination_1,E11,5
B,source,18,Destination_1,E11,6
C,source,19,Destination_1,E11,7
D,source,20,Destination_1,E11,8
E,source,21,Destination_1,E11,9
F,source,22,Destination_1,E11,10
1-pALD6,source,4,Destination_1,F11,8
2-pHHF1,source,8,Destination_1,F11,8
3-pCCW12,source,11,Destination_1,F11,8
etc,source,16,Destination_1,F11,9
A,source,17,Destination_1,F11,5
B,source,18,Destination_1,F11,6
C,source,19,Destination_1,F11,7
D,source,20,Destination_1,F11,8
E,source,21,Destination_1,F11,9
F,source,22,Destination_1,F11,10
1-pALD6,source,4,Destination_1,G11,8
2-pHHF1,source,8,Destination_1,G11,8
3-pHHF2,source,12,Destination_1,G11,8
etc,source,16,Destination_1,G11,9
A,source,17,Destination_1,G11,5
B,source,18,Destination_1,G11,6
C,source,19,Destination_1,G11,7
D,source,20,Destination_1,G11,8
E,source,21,Destination_1,G11,9
F,source,22,Destination_1,G11,10
1-pALD6,source,4,Destination_1,H11,8
2-pHHF1,source,8,Destination_1,H11,8
3-pRPL18B,source,13,Destination_1,H11,8
etc,source,16,Destination_1,H11,9
A,source,17,Destination_1,H11,5
B,source,18,Destination_1,H11,6
C,source,19,Destination_1,H11,7
D,source,20,Destination_1,H11,8
E,source,21,Destination_1,H11,9
F,source,22,Destination_1,H11,10
1-pALD6,source,4,Destination_1,A12,8
2-pHHF1,source,8,Destination_1,A12,8
3-pRET2,source,14,Destination_1,A12,8
etc,source,16,Destination_1,A12,9
A,source,17,Destination_1,A12,5
B,source,18,Destination_1,A12,6
C,source,19,Destination_1,A12,7
D,source,20,Destination_1,A12,8
E,source,21,Destination_1,A12,9
F,source,22,Destination_1,A12,10
1-pALD6,source,4,Destination_1,B12,8
2-pHHF1,source,8,Destination_1,B12,8
3-pRNR1,source,15,Destination_1,B12,8
etc,source,16,Destination_1,B12,9
A,source,17,Destination_1,B12,5
B,source,18,Destination_1,B12,6
C,source,19,Destination_1,B12,7
D,source,20,Destination_1,B12,8
E,source,21,Destination_1,B12,9
F,source,22,Destination_1,B12,10
1-pALD6,source,4,Destination_1,C12,8
2-pPAB1,source,9,Destination_1,C12,8
3-pCCW12,source,11,Destination_1,C12,8
etc,source,16,Destination_1,C12,9
A,source,17,Destination_1,C12,5
B,source,18,Destination_1,C12,6
C,source,19,Destination_1,C12,7
D,source,20,Destination_1,C12,8
E,source,21,Destination_1,C12,9
F,source,22,Destination_1,C12,10
1-pALD6,source,4,Destination_1,D12,8
2-pPAB1,source,9,Destination_1,D12,8
3-pHHF2,source,12,Destination_1,D12,8
etc,source,16,Destination_1,D12,9
A,source,17,Destination_1,D12,5
B,source,18,Destination_1,D12,6
C,source,19,Destination_1,D12,7
D,source,20,Destination_1,D12,8
E,source,21,Destination_1,D12,9
F,source,22,Destination_1,D12,10
1-pALD6,source,4,Destination_1,E12,8
2-pPAB1,source,9,Destination_1,E12,8
3-pRPL18B,source,13,Destination_1,E12,8
etc,source,16,Destination_1,E12,9
A,source,17,Destination_1,E12,5
B,source,18,Destination_1,E12,6
C,source,19,Destination_1,E12,7
D,source,20,Destination_1,E12,8
E,source,21,Destination_1,E12,9
F,source,22,Destination_1,E12,10
1-pALD6,source,4,Destination_1,F12,8
2-pPAB1,source,9,Destination_1,F12,8
3-pRET2,source,14,Destination_1,F12,8
etc,source,16,Destination_1,F12,9
A,source,17,Destination_1,F12,5
B,source,18,Destination_1,F12,6
C,source,19,Destination_1,F12,7
D,source,20,Destination_1,F12,8
E,source,21,Destination_1,F12,9
F,source,22,Destination_1,F12,10
1-pALD6,source,4,Destination_1,G12,8
2-pPAB1,source,9,Destination_1,G12,8
3-pRNR1,source,15,Destination_1,G12,8
etc,source,16,Destination_1,G12,9
A,source,17,Destination_1,G12,5
B,source,18,Destination_1,G12,6
C,source,19,Destination_1,G12,7
D,source,20,Destination_1,G12,8
E,source,21,Destination_1,G12,9
F,source,22,Destination_1,G12,10
1-pALD6,source,4,Destination_1,H12,8
2-pSAC6,source,10,Destination_1,H12,8
3-pCCW12,source,11,Destination_1,H12,8
etc,source,16,Destination_1,H12,9
A,source,17,Destination_1,H12,5
B,source,18,Destination_1,H12,6
C,source,19,Destination_1,H12,7
D,source,20,Destination_1,H12,8
E,source,21,Destination_1,H12,9
F,source,22,Destination_1,H12,10
1-pALD6,source,4,Destination_2,A1,8
2-pSAC6,source,10,Destination_2,A1,8
3-pHHF2,source,12,Destination_2,A1,8
etc,source,16,Destination_2,A1,9
A,source,17,Destination_2,A1,5
B,source,18,Destination_2,A1,6
C,source,19,Destination_2,A1,7
D,source,20,Destination_2,A1,8
E,source,21,Destination_2,A1,9
F,source,22,Destination_2,A1,10
1-pALD6,source,4,Destination_2,B1,8
2-pSAC6,source,10,Destination_2,B1,8
3-pRPL18B,source,13,Destination_2,B1,8
etc,source,16,Destination_2,B1,9
A,source,17,Destination_2,B1,5
B,source,18,Destination_2,B1,6
C,source,19,Destination_2,B1,7
D,source,20,Destination_2,B1,8
E,source,21,Destination_2,B1,9
F,source,22,Destination_2,B1,10
1-pALD6,source,4,Destination_2,C1,8
2-pSAC6,source,10,Destination_2,C1,8
3-pRET2,source,14,Destination_2,C1,8
etc,source,16,Destination_2,C1,9
A,source,17,Destination_2,C1,5
B,source,18,Destination_2,C1,6
C,source,19,Destination_2,C1,7
D,source,20,Destination_2,C1,8
E,source,21,Destination_2,C1,9
F,source,22,Destination_2,C1,10
1-pALD6,source,4,Destination_2,D1,8
2-pSAC6,source,10,Destination_2,D1,8
3-pRNR1,source,15,Destination_2,D1,8
etc,source,16,Destination_2,D1,9
A,source,17,Destination_2,D1,5
B,source,18,Destination_2,D1,6
C,source,19,Destination_2,D1,7
D,source,20,Destination_2,D1,8
E,source,21,Destination_2,D1,9
F,source,22,Destination_2,D1,10
1-pRNR2,source,5,Destination_2,E1,8
2-pPGK1,source,6,Destination_2,E1,8
3-pCCW12,source,11,Destination_2,E1,8
etc,source,16,Destination_2,E1,9
A,source,17,Destination_2,E1,5
B,source,18,Destination_2,E1,6
C,source,19,Destination_2,E1,7
D,source,20,Destination_2,E1,8
E,source,21,Destination_2,E1,9
F,source,22,Destination_2,E1,10
1-pRNR2,source,5,Destination_2,F1,8
2-pPGK1,source,6,Destination_2,F1,8
3-pHHF2,source,12,Destination_2,F1,8
etc,source,16,Destination_2,F1,9
A,source,17,Destination_2,F1,5
B,source,18,Destination_2,F1,6
C,source,19,Destination_2,F1,7
D,source,20,Destination_2,F1,8
E,source,21,Destination_2,F1,9
F,source,22,Destination_2,F1,10
1-pRNR2,source,5,Destination_2,G1,8
2-pPGK1,source,6,Destination_2,G1,8
3-pRPL18B,source,13,Destination_2,G1,8
etc,source,16,Destination_2,G1,9
A,source,17,Destination_2,G1,5
B,source,18,Destination_2,G1,6
C,source,19,Destination_2,G1,7
D,source,20,Destination_2,G1,8
E,source,21,Destination_2,G1,9
F,source,22,Destination_2,G1,10
1-pRNR2,source,5,Destination_2,H1,8
2-pPGK1,source,6,Destination_2,H1,8
3-pRET2,source,14,Destination_2,H1,8
etc,source,16,Destination_2,H1,9
A,source,17,Destination_2,H1,5
B,source,18,Destination_2,H1,6
C,source,19,Destination_2,H1,7
D,source,20,Destination_2,H1,8
E,source,21,Destination_2,H1,9
F,source,22,Destination_2,H1,10
1-pRNR2,source,5,Destination_2,A2,8
2-pPGK1,source,6,Destination_2,A2,8
3-pRNR1,source,15,Destination_2,A2,8
etc,source,16,Destination_2,A2,9
A,source,17,Destination_2,A2,5
B,source,18,Destination_2,A2,6
C,source,19,Destination_2,A2,7
D,source,20,Destination_2,A2,8
E,source,21,Destination_2,A2,9
F,source,22,Destination_2,A2,10
1-pRNR2,source,5,Destination_2,B2,8
2-pTEF1,source,7,Destination_2,B2,8
3-pCCW12,source,11,Destination_2,B2,8
etc,source,16,Destination_2,B2,9
A,source,17,Destination_2,B2,5
B,source,18,Destination_2,B2,6
C,source,19,Destination_2,B2,7
D,source,20,Destination_2,B2,8
E,source,21,Destination_2,B2,9
F,source,22,Destination_2,B2,10
1-pRNR2,source,5,Destination_2,C2,8
2-pTEF1,source,7,Destination_2,C2,8
3-pHHF2,source,12,Destination_2,C2,8
etc,source,16,Destination_2,C2,9
A,source,17,Destination_2,C2,5
B,source,18,Destination_2,C2,6
C,source,19,Destination_2,C2,7
D,source,20,Destination_2,C2,8
E,source,21,Destination_2,C2,9
F,source,22,Destination_2,C2,10
1-pRNR2,source,5,Destination_2,D2,8
2-pTEF1,source,7,Destination_2,D2,8
3-pRPL18B,source,13,Destination_2,D2,8
etc,source,16,Destination_2,D2,9
A,source,17,Destination_2,D2,5
B,source,18,Destination_2,D2,6
C,source,19,Destination_2,D2,7
D,source,20,Destination_2,D2,8
E,source,21,Destination_2,D2,9
F,source,22,Destination_2,D2,10
1-pRNR2,source,5,Destination_2,E2,8
2-pTEF1,source,7,Destination_2,E2,8
3-pRET2,source,14,Destination_2,E2,8
etc,source,16,Destination_2,E2,9
A,source,17,Destination_2,E2,5
B,source,18,Destination_2,E2,6
C,source,19,Destination_2,E2,7
D,source,20,Destination_2,E2,8
E,source,21,Destination_2,E2,9
F,source,22,Destination_2,E2,10
1-pRNR2,source,5,Destination_2,F2,8
2-pTEF1,source,7,Destination_2,F2,8
3-pRNR1,source,15,Destination_2,F2,8
etc,source,16,Destination_2,F2,9
A,source,17,Destination_2,F2,5
B,source,18,Destination_2,F2,6
C,source,19,Destination_2,F2,7
D,source,20,Destination_2,F2,8
E,source,21,Destination_2,F2,9
F,source,22,Destination_2,F2,10
1-pRNR2,source,5,Destination_2,G2,8
2-pHHF1,source,8,Destination_2,G2,8
3-pCCW12,source,11,Destination_2,G2,8
etc,source,16,Destination_2,G2,9
A,source,17,Destination_2,G2,5
B,source,18,Destination_2,G2,6
C,source,19,Destination_2,G2,7
D,source,20,Destination_2,G2,8
E,source,21,Destination_2,G2,9
F,source,22,Destination_2,G2,10
1-pRNR2,source,5,Destination_2,H2,8
2-pHHF1,source,8,Destination_2,H2,8
3-pHHF2,source,12,Destination_2,H2,8
etc,source,16,Destination_2,H2,9
A,source,17,Destination_2,H2,5
B,source,18,Destination_2,H2,6
C,source,19,Destination_2,H2,7
D,source,20,Destination_2,H2,8
E,source,21,Destination_2,H2,9
F,source,22,Destination_2,H2,10
1-pRNR2,source,5,Destination_2,A3,8
2-pHHF1,source,8,Destination_2,A3,8
3-pRPL18B,source,13,Destination_2,A3,8
etc,source,16,Destination_2,A3,9
A,source,17,Destination_2,A3,5
B,source,18,Destination_2,A3,6
C,source,19,Destination_2,A3,7
D,source,20,Destination_2,A3,8
E,source,21,Destination_2,A3,9
F,source,22,Destination_2,A3,10
1-pRNR2,source,5,Destination_2,B3,8
2-pHHF1,source,8,Destination_2,B3,8
3-pRET2,source,14,Destination_2,B3,8
etc,source,16,Destination_2,B3,9
A,source,17,Destination_2,B3,5
B,source,18,Destination_2,B3,6
C,source,19,Destination_2,B3,7
D,source,20,Destination_2,B3,8
E,source,21,Destination_2,B3,9
F,source,22,Destination_2,B3,10
1-pRNR2,source,5,Destination_2,C3,8
2-pHHF1,source,8,Destination_2,C3,8
3-pRNR1,source,15,Destination_2,C3,8
etc,source,16,Destination_2,C3,9
A,source,17,Destination_2,C3,5
B,source,18,Destination_2,C3,6
C,source,19,Destination_2,C3,7
D,source,20,Destination_2,C3,8
E,source,21,Destination_2,C3,9
F,source,22,Destination_2,C3,10
1-pRNR2,source,5,Destination_2,D3,8
2-pPAB1,source,9,Destination_2,D3,8
3-pCCW12,source,11,Destination_2,D3,8
etc,source,16,Destination_2,D3,9
A,source,17,Destination_2,D3,5
B,source,18,Destination_2,D3,6
C,source,19,Destination_2,D3,7
D,source,20,Destination_2,D3,8
E,source,21,Destination_2,D3,9
F,source,22,Destination_2,D3,10
1-pRNR2,source,5,Destination_2,E3,8
2-pPAB1,source,9,Destination_2,E3,8
3-pHHF2,source,12,Destination_2,E3,8
etc,source,16,Destination_2,E3,9
A,source,17,Destination_2,E3,5
B,source,18,Destination_2,E3,6
C,source,19,Destination_2,E3,7
D,source,20,Destination_2,E3,8
E,source,21,Destination_2,E3,9
F,source,22,Destination_2,E3,10
1-pRNR2,source,5,Destination_2,F3,8
2-pPAB1,source,9,Destination_2,F3,8
3-pRPL18B,source,13,Destination_2,F3,8
etc,source,16,Destination_2,F3,9
A,source,17,Destination_2,F3,5
B,source,18,Destination_2,F3,6
C,source,19,Destination_2,F3,7
D,source,20,Destination_2,F3,8
E,source,21,Destination_2,F3,9
F,source,22,Destination_2,F3,10
1-pRNR2,source,5,Destination_2,G3,8
2-pPAB1,source,9,Destination_2,G3,8
3-pRET2,source,14,Destination_2,G3,8
etc,source,16,Destination_2,G3,9
A,source,17,Destination_2,G3,5
B,source,18,Destination_2,G3,6
C,source,19,Destination_2,G3,7
D,source,20,Destination_2,G3,8
E,source,21,Destination_2,G3,9
F,source,22,Destination_2,G3,10
1-pRNR2,source,5,Destination_2,H3,8
2-pPAB1,source,9,Destination_2,H3,8
3-pRNR1,source,15,Destination_2,H3,8
etc,source,16,Destination_2,H3,9
A,source,17,Destination_2,H3,5
B,source,18,Destination_2,H3,6
C,source,19,Destination_2,H3,7
D,source,20,Destination_2,H3,8
E,source,21,Destination_2,H3,9
F,source,22,Destination_2,H3,10
1-pRNR2,source,5,Destination_2,A4,8
2-pSAC6,source,10,Destination_2,A4,8
3-pCCW12,source,11,Destination_2,A4,8
etc,source,16,Destination_2,A4,9
A,source,17,Destination_2,A4,5
B,source,18,Destination_2,A4,6
C,source,19,Destination_2,A4,7
D,source,20,Destination_2,A4,8
E,source,21,Destination_2,A4,9
F,source,22,Destination_2,A4,10
1-pRNR2,source,5,Destination_2,B4,8
2-pSAC6,source,10,Destination_2,B4,8
3-pHHF2,source,12,Destination_2,B4,8
etc,source,16,Destination_2,B4,9
A,source,17,Destination_2,B4,5
B,source,18,Destination_2,B4,6
C,source,19,Destination_2,B4,7
D,source,20,Destination_2,B4,8
E,source,21,Destination_2,B4,9
F,source,22,Destination_2,B4,10
1-pRNR2,source,5,Destination_2,C4,8
2-pSAC6,source,10,Destination_2,C4,8
3-pRPL18B,source,13,Destination_2,C4,8
etc,source,16,Destination_2,C4,9
A,source,17,Destination_2,C4,5
B,source,18,Destination_2,C4,6
C,source,19,Destination_2,C4,7
D,source,20,Destination_2,C4,8
E,source,21,Destination_2,C4,9
F,source,22,Destination_2,C4,10
1-pRNR2,source,5,Destination_2,D4,8
2-pSAC6,source,10,Destination_2,D4,8
3-pRET2,source,14,Destination_2,D4,8
etc,source,16,Destination_2,D4,9
A,source,17,Destination_2,D4,5
B,source,18,Destination_2,D4,6
C,source,19,Destination_2,D4,7
D,source,20,Destination_2,D4,8
E,source,21,Destination_2,D4,9
F,source,22,Destination_2,D4,10
1-pRNR2,source,5,Destination_2,E4,8
2-pSAC6,source,10,Destination_2,E4,8
3-pRNR1,source,15,Destination_2,E4,8
etc,source,16,Destination_2,E4,9
A,source,17,Destination_2,E4,5
B,source,18,Destination_2,E4,6
C,source,19,Destination_2,E4,7
D,source,20,Destination_2,E4,8
E,source,21,Destination_2,E4,9
F,source,22,Destination_2,E4,10
1-pTDH3,source,1,Destination_2,F4,8
2-pPGK1,source,6,Destination_2,F4,8
3-pCCW12,source,11,Destination_2,F4,8
etc,source,16,Destination_2,F4,9
A,source,17,Destination_2,F4,5
B,source,18,Destination_2,F4,6
C,source,19,Destination_2,F4,7
D,source,20,Destination_2,F4,8
E,source,21,Destination_2,F4,9
F,source,22,Destination_2,F4,10
1-pTDH3,source,1,Destination_2,G4,8
2-pPGK1,source,6,Destination_2,G4,8
3-pHHF2,source,12,Destination_2,G4,8
etc,source,16,Destination_2,G4,9
A,source,17,Destination_2,G4,5
B,source,18,Destination_2,G4,6
C,source,19,Destination_2,G4,7
D,source,20,Destination_2,G4,8
E,source,21,Destination_2,G4,9
F,source,22,Destination_2,G4,10
1-pTDH3,source,1,Destination_2,H4,8
2-pPGK1,source,6,Destination_2,H4,8
3-pRPL18B,source,13,Destination_2,H4,8
etc,source,16,Destination_2,H4,9
A,source,17,Destination_2,H4,5
B,source,18,Destination_2,H4,6
C,source,19,Destination_2,H4,7
D,source,20,Destination_2,H4,8
E,source,21,Destination_2,H4,9
F,source,22,Destination_2,H4,10
1-pTDH3,source,1,Destination_2,A5,8
2-pPGK1,source,6,Destination_2,A5,8
3-pRET2,source,14,Destination_2,A5,8
etc,source,16,Destination_2,A5,9
A,source,17,Destination_2,A5,5
B,source,18,Destination_2,A5,6
C,source,19,Destination_2,A5,7
D,source,20,Destination_2,A5,8
E,source,21,Destination_2,A5,9
F,source,22,Destination_2,A5,10
1-pTDH3,source,1,Destination_2,B5,8
2-pPGK1,source,6,Destination_2,B5,8
3-pRNR1,source,15,Destination_2,B5,8
etc,source,16,Destination_2,B5,9
A,source,17,Destination_2,B5,5
B,source,18,Destination_2,B5,6
C,source,19,Destination_2,B5,7
D,source,20,Destination_2,B5,8
E,source,21,Destination_2,B5,9
F,source,22,Destination_2,B5,10
1-pTDH3,source,1,Destination_2,C5,8
2-pTEF1,source,7,Destination_2,C5,8
3-pCCW12,source,11,Destination_2,C5,8
etc,source,16,Destination_2,C5,9
A,source,17,Destination_2,C5,5
B,source,18,Destination_2,C5,6
C,source,19,Destination_2,C5,7
D,source,20,Destination_2,C5,8
E,source,21,Destination_2,C5,9
F,source,22,Destination_2,C5,10
1-pTDH3,source,1,Destination_2,D5,8
2-pTEF1,source,7,Destination_2,D5,8
3-pHHF2,source,12,Destination_2,D5,8
etc,source,16,Destination_2,D5,9
A,source,17,Destination_2,D5,5
B,source,18,Destination_2,D5,6
C,source,19,Destination_2,D5,7
D,source,20,Destination_2,D5,8
E,source,21,Destination_2,D5,9
F,source,22,Destination_2,D5,10
1-pTDH3,source,1,Destination_2,E5,8
2-pTEF1,source,7,Destination_2,E5,8
3-pRPL18B,source,13,Destination_2,E5,8
etc,source,16,Destination_2,E5,9
A,source,17,Destination_2,E5,5
B,source,18,Destination_2,E5,6
C,source,19,Destination_2,E5,7
D,source,20,Destination_2,E5,8
E,source,21,Destination_2,E5,9
F,source,22,Destination_2,E5,10
1-pTDH3,source,1,Destination_2,F5,8
2-pTEF1,source,7,Destination_2,F5,8
3-pRET2,source,14,Destination_2,F5,8
etc,source,16,Destination_2,F5,9
A,source,17,Destination_2,F5,5
B,source,18,Destination_2,F5,6
C,source,19,Destination_2,F5,7
D,source,20,Destination_2,F5,8
E,source,21,Destination_2,F5,9
F,source,22,Destination_2,F5,10
1-pTDH3,source,1,Destination_2,G5,8
2-pTEF1,source,7,Destination_2,G5,8
3-pRNR1,source,15,Destination_2,G5,8
etc,source,16,Destination_2,G5,9
A,source,17,Destination_2,G5,5
B,source,18,Destination_2,G5,6
C,source,19,Destination_2,G5,7
D,source,20,Destination_2,G5,8
E,source,21,Destination_2,G5,9
F,source,22,Destination_2,G5,10
1-pTDH3,source,1,Destination_2,H5,8
2-pHHF1,source,8,Destination_2,H5,8
3-pCCW12,source,11,Destination_2,H5,8
etc,source,16,Destination_2,H5,9
A,source,17,Destination_2,H5,5
B,source,18,Destination_2,H5,6
C,source,19,Destination_2,H5,7
D,source,20,Destination_2,H5,8
E,source,21,Destination_2,H5,9
F,source,22,Destination_2,H5,10
1-pTDH3,source,1,Destination_2,A6,8
2-pHHF1,source,8,Destination_2,A6,8
3-pHHF2,source,12,Destination_2,A6,8
etc,source,16,Destination_2,A6,9
A,source,17,Destination_2,A6,5
B,source,18,Destination_2,A6,6
C,source,19,Destination_2,A6,7
D,source,20,Destination_2,A6,8
E,source,21,Destination_2,A6,9
F,source,22,Destination_2,A6,10
1-pTDH3,source,1,Destination_2,B6,8
2-pHHF1,source,8,Destination_2,B6,8
3-pRPL18B,source,13,Destination_2,B6,8
etc,source,16,Destination_2,B6,9
A,source,17,Destination_2,B6,5
B,source,18,Destination_2,B6,6
C,source,19,Destination_2,B6,7
D,source,20,Destination_2,B6,8
E,source,21,Destination_2,B6,9
F,source,22,Destination_2,B6,10
1-pTDH3,source,1,Destination_2,C6,8
2-pHHF1,source,8,Destination_2,C6,8
3-pRET2,source,14,Destination_2,C6,8
etc,source,16,Destination_2,C6,9
A,source,17,Destination_2,C6,5
B,source,18,Destination_2,C6,6
C,source,19,Destination_2,C6,7
D,source,20,Destination_2,C6,8
E,source,21,Destination_2,C6,9
F,source,22,Destination_2,C6,10
1-pTDH3,source,1,Destination_2,D6,8
2-pHHF1,source,8,Destination_2,D6,8
3-pRNR1,source,15,Destination_2,D6,8
etc,source,16,Destination_2,D6,9
A,source,17,Destination_2,D6,5
B,source,18,Destination_2,D6,6
C,source,19,Destination_2,D6,7
D,source,20,Destination_2,D6,8
E,source,21,Destination_2,D6,9
F,source,22,Destination_2,D6,10
1-pTDH3,source,1,Destination_2,E6,8
2-pPAB1,source,9,Destination_2,E6,8
3-pCCW12,source,11,Destination_2,E6,8
etc,source,16,Destination_2,E6,9
A,source,17,Destination_2,E6,5
B,source,18,Destination_2,E6,6
C,source,19,Destination_2,E6,7
D,source,20,Destination_2,E6,8
E,source,21,Destination_2,E6,9
F,source,22,Destination_2,E6,10
1-pTDH3,source,1,Destination_2,F6,8
2-pPAB1,source,9,Destination_2,F6,8
3-pHHF2,source,12,Destination_2,F6,8
etc,source,16,Destination_2,F6,9
A,source,17,Destination_2,F6,5
B,source,18,Destination_2,F6,6
C,source,19,Destination_2,F6,7
D,source,20,Destination_2,F6,8
E,source,21,Destination_2,F6,9
F,source,22,Destination_2,F6,10
1-pTDH3,source,1,Destination_2,G6,8
2-pPAB1,source,9,Destination_2,G6,8
3-pRPL18B,source,13,Destination_2,G6,8
etc,source,16,Destination_2,G6,9
A,source,17,Destination_2,G6,5
B,source,18,Destination_2,G6,6
C,source,19,Destination_2,G6,7
D,source,20,Destination_2,G6,8
E,source,21,Destination_2,G6,9
F,source,22,Destination_2,G6,10
1-pTDH3,source,1,Destination_2,H6,8
2-pPAB1,source,9,Destination_2,H6,8
3-pRET2,source,14,Destination_2,H6,8
etc,source,16,Destination_2,H6,9
A,source,17,Destination_2,H6,5
B,source,18,Destination_2,H6,6
C,source,19,Destination_2,H6,7
D,source,20,Destination_2,H6,8
E,source,21,Destination_2,H6,9
F,source,22,Destination_2,H6,10
1-pTDH3,source,1,Destination_2,A7,8
2-pPAB1,source,9,Destination_2,A7,8
3-pRNR1,source,15,Destination_2,A7,8
etc,source,16,Destination_2,A7,9
A,source,17,Destination_2,A7,5
B,source,18,Destination_2,A7,6
C,source,19,Destination_2,A7,7
D,source,20,Destination_2,A7,8
E,source,21,Destination_2,A7,9
F,source,22,Destination_2,A7,10
1-pTDH3,source,1,Destination_2,B7,8
2-pSAC6,source,10,Destination_2,B7,8
3-pCCW12,source,11,Destination_2,B7,8
etc,source,16,Destination_2,B7,9
A,source,17,Destination_2,B7,5
B,source,18,Destination_2,B7,6
C,source,19,Destination_2,B7,7
D,source,20,Destination_2,B7,8
E,source,21,Destination_2,B7,9
F,source,22,Destination_2,B7,10
1-pTDH3,source,1,Destination_2,C7,8
2-pSAC6,source,10,Destination_2,C7,8
3-pHHF2,source,12,Destination_2,C7,8
etc,source,16,Destination_2,C7,9
A,source,17,Destination_2,C7,5
B,source,18,Destination_2,C7,6
C,source,19,Destination_2,C7,7
D,source,20,Destination_2,C7,8
E,source,21,Destination_2,C7,9
F,source,22,Destination_2,C7,10
1-pTDH3,source,1,Destination_2,D7,8
2-pSAC6,source,10,Destination_2,D7,8
3-pRPL18B,source,13,Destination_2,D7,8
etc,source,16,Destination_2,D7,9
A,source,17,Destination_2,D7,5
